user_id,location,date,time,timezone,case,source
74025,,10/20/2021,20:08:45,+08:00,IN,mobile
74025,,10/20/2021,20:09:11,+08:00,IN,mobile
74027,,10/20/2021,22:29:56,+08:00,IN,mobile
74027,,10/21/2021,0:15:33,+08:00,OUT,mobile
74025,Nu Orange,10/21/2021,13:22:20,+08:00,IN,mobile
74027,Nu Orange,10/21/2021,15:47:52,+08:00,IN,mobile
74135,Nu Orange,10/21/2021,18:09:37,+08:00,IN,mobile
74025,Nu Orange,10/22/2021,13:40:57,+08:00,IN,mobile
74138,,10/22/2021,14:33:25,+08:00,IN,mobile
74027,Nu Orange,10/22/2021,16:15:48,+08:00,IN,mobile
74050,Clinic,10/25/2021,13:51:35,+08:00,IN,mobile
74027,,10/25/2021,13:58:21,+08:00,IN,mobile
74053,Clinic,10/25/2021,14:20:04,+08:00,IN,mobile
74049,Clinic,10/25/2021,14:20:16,+08:00,IN,mobile
74050,,10/25/2021,14:20:21,+08:00,IN,mobile
74465,Nu Orange,10/25/2021,14:20:25,+08:00,IN,mobile
74054,Nu Orange,10/25/2021,14:20:29,+08:00,IN,mobile
74556,Nu Orange,10/25/2021,14:20:29,+08:00,IN,mobile
74053,Clinic,10/25/2021,14:20:44,+08:00,IN,mobile
74054,Nu Orange,10/25/2021,14:21:08,+08:00,OUT,mobile
74053,Clinic,10/25/2021,14:21:12,+08:00,OUT,mobile
74465,Nu Orange,10/25/2021,14:21:13,+08:00,OUT,mobile
74049,Clinic,10/25/2021,14:21:17,+08:00,OUT,mobile
74556,Nu Orange,10/25/2021,14:21:21,+08:00,OUT,mobile
74050,Clinic,10/25/2021,14:21:22,+08:00,OUT,mobile
74025,,10/25/2021,15:19:16,+08:00,IN,mobile
74027,,10/25/2021,16:00:51,+08:00,IN,mobile
74052,Clinic,10/25/2021,16:00:53,+08:00,IN,mobile
74042,Nu Orange,10/25/2021,16:02:15,+08:00,IN,mobile
74639,Nu Orange,10/25/2021,18:25:33,+08:00,IN,mobile
74639,Nu Orange,10/25/2021,18:25:58,+08:00,IN,mobile
